Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22775398,"A Beautiful Constraint: How To Transform Your Limitations Into Advantages, and Why It′s Everyone′s Business",Adam Morgan,"Morgan, Adam",Mark Barden,"=""1118899016""","=""9781118899014""",0,3.94,John Wiley & Sons,Hardcover,288,2015,2004,,2017/07/07,to-read,to-read (#119),to-read,,,,0,,,0,,,,,
2652568,Guesstimation: Solving the World's Problems on the Back of a Cocktail Napkin,Lawrence Weinstein,"Weinstein, Lawrence",John A. Adam,"=""0691129495""","=""9780691129495""",0,3.70,Princeton University Press,Paperback,301,2008,2008,,2017/07/07,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
20763837,The Silver Cord (Volume 1 & 2),Kevin  Kelly,"Kelly, Kevin",Steve  Masseroni,"=""1940689015""","=""9781940689012""",0,3.75,Cool Tools Lab,Hardcover,464,2015,,,2017/06/21,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
32600755,Warnings: Finding Cassandras to Stop Catastrophes,Richard A. Clarke,"Clarke, Richard A.",R.P. Eddy,"=""0062488023""","=""9780062488022""",0,4.19,Ecco,Hardcover,416,2017,2017,,2017/06/01,"altucher, to-read","altucher (#18), to-read (#116)",to-read,,,,0,,,0,,,,,
891883,Beat the Dealer: A Winning Strategy for the Game of Twenty-One,Edward O. Thorp,"Thorp, Edward O.",,"=""0394703103""","=""9780394703107""",0,4.11,Vintage,Mass Market Paperback,240,1966,1966,,2017/04/21,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
25733505,A Man for All Markets,Edward O. Thorp,"Thorp, Edward O.",,"=""1400067960""","=""9781400067961""",0,4.12,Random House,Hardcover,416,2016,,,2017/04/21,to-read,to-read (#114),to-read,,,Financial Post article about Ed Thorp.  Started first quant fund.,0,,Financial Post,0,,,,,
1057231,Samskara: A Rite for a Dead Man,U.R. Ananthamurthy ಯು. ಆರ್. ಅನ೦ತಮೂರ್ತಿ,"ಅನ೦ತಮೂರ್ತಿ, U.R. Ananthamurthy ಯು. ಆರ್.",A.K. Ramanujan,"=""0195610792""","=""9780195610796""",0,3.87,"Oxford University Press, USA",Paperback,176,1979,1965,,2016/11/26,to-read,to-read (#113),to-read,,,,,,,0,,,,,
27189099,Joy on Demand: The Art of Discovering the Happiness Within,Chade-Meng Tan,"Tan, Chade-Meng",,"=""0062378856""","=""9780062378859""",0,3.97,HarperOne,Hardcover,272,2016,2016,,2016/08/19,"timferriss, to-read","timferriss (#2), to-read (#112)",to-read,,,,,,,0,,,,,
27213168,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,"Yong, Ed",,"=""0062368591""","=""9780062368591""",0,4.21,Ecco,Hardcover,368,2016,2016,,2016/07/28,to-read,to-read (#111),to-read,,,,,,,0,,,,,
10672848,"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, and Emerged Triumphant from Two Centuries of Controversy",Sharon Bertsch McGrayne,"McGrayne, Sharon Bertsch",,"=""0300169698""","=""9780300169690""",0,3.66,Yale University Press,Hardcover,336,2011,2011,,2016/07/07,to-read,to-read (#110),to-read,,,,,,,0,,,,,
